,date,type,location,fatalities,ground_fatalities,crew,passengers,operator,first_flight,damage,phase,nature,manufacturer,year,month,day,aircraft_age
1182,1944-09-09,Douglas C-47A (DC-3),United States of America,9,0,4.0,5.0,USAAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,September,Saturday,617
1184,1944-09-14,Douglas C-47A (DC-3),United States of America,2,0,2.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Approach (APR),Military,Douglas,1944,September,Thursday,622
1185,1944-09-14,Douglas C-47A (DC-3),United States of America,2,0,2.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Approach (APR),Military,Douglas,1944,September,Thursday,622
1189,1944-09-17,Douglas C-47A (DC-3),Netherlands,5,0,4.0,1.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Sunday,625
1192,1944-09-17,Douglas C-47A (DC-3),Netherlands,4,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,September,Sunday,260
1194,1944-09-17,Douglas C-47A (DC-3),Netherlands,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,September,Sunday,260
1195,1944-09-17,Douglas C-47A (DC-3),Netherlands,4,0,5.0,15.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Sunday,260
1196,1944-09-17,Douglas C-47A (DC-3),Netherlands,3,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,September,Sunday,260
1198,1944-09-17,Douglas C-47A (DC-3),Netherlands,4,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Sunday,260
1199,1944-09-17,Douglas C-47A (DC-3),Netherlands,2,0,5.0,10.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Sunday,260
1200,1944-09-17,Douglas C-47A (DC-3),Belgium,4,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Sunday,260
1201,1944-09-17,Douglas C-47A (DC-3),Belgium,9,0,5.0,10.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Sunday,260
1202,1944-09-17,Douglas C-47A (DC-3),Netherlands,2,0,5.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Sunday,625
1203,1944-09-17,Douglas C-47A (DC-3),Netherlands,6,0,4.0,18.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Sunday,625
1204,1944-09-17,Douglas C-47A (DC-3),Netherlands,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Sunday,625
1205,1944-09-18,Douglas C-47A (DC-3),United States of America,19,0,3.0,16.0,"USAAF, op.for Northwest Airlines",1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Monday,261
1206,1944-09-18,Douglas C-47A (DC-3),Netherlands,24,0,6.0,18.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Monday,261
1207,1944-09-18,Douglas C-47A (DC-3),Netherlands,1,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Monday,261
1208,1944-09-18,Douglas C-47A (DC-3),Netherlands,2,0,2.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Monday,261
1209,1944-09-18,Douglas Dakota III (DC-3),Atlantic Ocean,4,0,4.0,0.0,RAF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,September,Monday,261
1211,1944-09-18,Douglas C-47A (DC-3),Netherlands,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Monday,626
1212,1944-09-18,Douglas C-47A (DC-3),Netherlands,3,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Monday,261
1213,1944-09-18,Douglas C-47A (DC-3),Netherlands,3,0,5.0,14.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Monday,261
1215,1944-09-19,Douglas Dakota III (DC-3),Netherlands,6,0,8.0,0.0,RAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,September,Tuesday,262
1216,1944-09-19,Douglas Dakota III (DC-3),Netherlands,1,0,4.0,4.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Tuesday,262
1217,1944-09-19,Douglas Dakota III (DC-3),Netherlands,5,0,4.0,4.0,RAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Tuesday,627
1218,1944-09-19,Curtiss C-46A,United States of America,3,0,3.0,0.0,USAAF,1944-01-01,Destroyed,En route (ENR),Military,Curtiss,1944,September,Tuesday,262
1219,1944-09-19,Douglas C-47A (DC-3),Belgium,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Tuesday,627
1220,1944-09-19,Douglas C-47A (DC-3),China,3,0,3.0,0.0,USAAF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,September,Tuesday,262
1221,1944-09-19,Douglas C-47A (DC-3),Belgium,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Tuesday,627
1222,1944-09-19,Douglas Dakota III (DC-3),Belgium,1,0,4.0,0.0,RAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,September,Tuesday,262
1223,1944-09-19,Douglas Dakota III (DC-3),Italy,16,0,4.0,12.0,RAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Tuesday,627
1225,1944-09-19,Douglas C-47A (DC-3),Belgium,2,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Tuesday,627
1226,1944-09-19,Douglas C-47A (DC-3),Netherlands,2,0,5.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Tuesday,627
1227,1944-09-19,Douglas C-47A (DC-3),Netherlands,2,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Tuesday,262
1228,1944-09-19,Douglas C-47A (DC-3),Belgium,2,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Tuesday,262
1229,1944-09-19,Douglas C-47B (DC-3),Netherlands,2,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Tuesday,262
1230,1944-09-19,Douglas Dakota III (DC-3),Netherlands,7,0,8.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Tuesday,262
1231,1944-09-20,Douglas Dakota III (DC-3),Netherlands,1,0,4.0,4.0,RAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,September,Wednesday,263
1236,1944-09-21,Douglas Dakota III (DC-3),Netherlands,8,0,8.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Thursday,264
1238,1944-09-21,Douglas Dakota III (DC-3),Netherlands,4,0,4.0,0.0,RCAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Thursday,264
1239,1944-09-21,Douglas Dakota III (DC-3),Netherlands,8,0,8.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Thursday,264
1240,1944-09-21,Douglas Dakota III (DC-3),Netherlands,4,0,8.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Thursday,264
1241,1944-09-21,Lockheed 18 Lodestar,Brazil,16,0,4.0,12.0,Panair do Brasil,1941-01-01,Damaged beyond repair,Unknown (UNK),Domestic Scheduled Passenger,Lockheed,1944,September,Thursday,1359
1242,1944-09-21,Douglas Dakota III (DC-3),United Kingdom,4,0,4.0,0.0,RAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,September,Thursday,264
1243,1944-09-21,Douglas C-47A (DC-3),United States of America,2,0,4.0,4.0,USAAF,1944-01-01,Damaged beyond repair,Approach (APR),Military,Douglas,1944,September,Thursday,264
1244,1944-09-21,Douglas Dakota III (DC-3),Belgium,4,0,4.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Thursday,264
1245,1944-09-21,Douglas C-47A (DC-3),Netherlands,5,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Thursday,264
1247,1944-09-21,Douglas C-47A (DC-3),Netherlands,5,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,September,Thursday,264
1248,1944-09-21,Douglas Dakota III (DC-3),Netherlands,3,0,8.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Thursday,264
1249,1944-09-22,Curtiss C-46A,Bahrain,34,0,4.0,30.0,USAAF,1944-01-01,Damaged beyond repair,Takeoff (TOF),Military,Curtiss,1944,September,Friday,265
1250,1944-09-23,Douglas DC-3A-228C,Mexico,1,0,4.0,17.0,Mexicana,1940-01-01,Substantial,Unknown (UNK),Domestic Scheduled Passenger,Douglas,1944,September,Saturday,1727
1251,1944-09-23,Douglas C-47A (DC-3),Netherlands,2,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,September,Saturday,266
1253,1944-09-23,Douglas Dakota III (DC-3),Netherlands,5,0,9.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Saturday,266
1254,1944-09-24,Douglas C-47A (DC-3),United States of America,12,0,4.0,8.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Sunday,632
1255,1944-09-24,Douglas Dakota III (DC-3),Germany,20,0,3.0,17.0,RAF,1944-01-01,Destroyed,En route (ENR),Military,Douglas,1944,September,Sunday,267
1258,1944-09-25,Curtiss C-46A,Unknown country,3,0,3.0,0.0,USAAF,1944-01-01,Missing,En route (ENR),Military,Curtiss,1944,September,Monday,268
1260,1944-09-25,Douglas C-47A (DC-3),Papua New Guinea,7,0,4.0,3.0,USAAF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,September,Monday,268
1262,1944-09-27,Douglas C-47B (DC-3),Germany,1,0,4.0,2.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,September,Wednesday,270
1265,1944-10-01,Douglas C-47A (DC-3),Papua New Guinea,24,0,4.0,20.0,USAAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,October,Sunday,639
1267,1944-10-07,Douglas C-47 (DC-3),China,3,0,3.0,0.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,October,Saturday,1010
1268,1944-10-07,Douglas C-47B (DC-3),India,3,0,3.0,0.0,CNAC,1944-01-01,Damaged beyond repair,Unknown (UNK),Cargo,Douglas,1944,October,Saturday,280
1270,1944-10-08,Douglas C-47A (DC-3),Myanmar,4,0,4.0,0.0,USAAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,October,Sunday,646
1271,1944-10-10,Douglas C-47A (DC-3),Myanmar,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,October,Tuesday,283
1273,1944-10-11,Lockheed 18 Lodestar,Brazil,10,0,4.0,6.0,NAB,1942-01-01,Damaged beyond repair,Initial climb (ICL),Unknown,Lockheed,1944,October,Wednesday,1014
1274,1944-10-11,Short S.23 Empire Flying Boat Mk I,Australia,1,0,7.0,22.0,Qantas,1937-01-01,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,Short,1944,October,Wednesday,2840
1279,1944-10-16,Junkers Ju-52/3mg8e,Norway,15,0,3.0,12.0,Deutsche Lufthansa,1943-01-01,Destroyed,En route (ENR),International Scheduled Passenger,Junkers,1944,October,Monday,654
1282,1944-10-19,Curtiss C-46A,Unknown country,4,0,4.0,0.0,USAAF,1944-01-01,Missing,Unknown (UNK),Military,Curtiss,1944,October,Thursday,292
1283,1944-10-19,Douglas C-47A (DC-3),India,3,0,3.0,0.0,USAAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,October,Thursday,657
1285,1944-10-20,Douglas C-47A (DC-3),China,3,0,3.0,0.0,USAAF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,October,Friday,293
1288,1944-10-23,Douglas C-47A (DC-3),Myanmar,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,October,Monday,296
1289,1944-10-24,Douglas Dakota III (DC-3),France,4,0,5.0,0.0,RAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,October,Tuesday,662
1290,1944-10-24,Douglas C-47 (DC-3),France,4,0,4.0,0.0,USAAF,1942-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,October,Tuesday,1027
1291,1944-10-25,Douglas C-47A (DC-3),United Kingdom,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,October,Wednesday,663
1293,1944-10-26,Curtiss C-46A,United States of America,5,0,5.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Curtiss,1944,October,Thursday,664
1294,1944-10-26,Curtiss C-46A,United States of America,7,0,7.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Curtiss,1944,October,Thursday,299
1297,1944-10-29,Douglas C-47 (DC-3),United States of America,3,0,3.0,0.0,USAAF,1942-01-01,Damaged beyond repair,Approach (APR),Military,Douglas,1944,October,Sunday,1032
1298,1944-10-30,Douglas C-47B (DC-3),United Kingdom,11,0,5.0,6.0,USAAF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,October,Monday,303
1299,1944-10-31,Douglas C-47A (DC-3),France,4,0,7.0,11.0,USAAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,October,Tuesday,669
1300,1944-11-01,Douglas C-47A (DC-3),France,20,0,5.0,15.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,November,Wednesday,305
1302,1944-11-04,Douglas DC-3-454,United States of America,24,0,3.0,21.0,TWA,1940-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1944,November,Saturday,1769
1305,1944-11-07,Douglas C-47B (DC-3),France,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,November,Tuesday,311
1306,1944-11-08,Douglas C-47A (DC-3),Myanmar,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,November,Wednesday,312
1307,1944-11-09,Douglas C-54A (DC-4),United States of America,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Initial climb (ICL),Military,Douglas,1944,November,Thursday,678
1308,1944-11-11,Douglas C-54A (DC-4),Pacific Ocean,17,0,6.0,11.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,November,Saturday,315
1309,1944-11-11,Douglas C-47B (DC-3),United Kingdom,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,November,Saturday,315
1310,1944-11-11,Douglas C-47B (DC-3),United States of America,12,0,2.0,11.0,USAAF,1944-01-01,Destroyed,En route (ENR),Military,Douglas,1944,November,Saturday,315
1311,1944-11-11,Douglas C-47A (DC-3),Belarus,1,0,5.0,10.0,Aeroflot,1943-01-01,Damaged beyond repair,Landing (LDG),Passenger,Douglas,1944,November,Saturday,680
1312,1944-11-11,Douglas C-47A (DC-3),Indonesia,4,0,4.0,0.0,USAAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,November,Saturday,680
1313,1944-11-12,Douglas C-54A (DC-4),Canada,9,0,6.0,12.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,November,Sunday,681
1317,1944-11-13,Douglas C-47 (DC-3),United States of America,11,0,2.0,9.0,USAAF,1942-01-01,Damaged beyond repair,Initial climb (ICL),Military,Douglas,1944,November,Monday,1047
1318,1944-11-13,Douglas C-47B (DC-3),Atlantic Ocean,4,0,4.0,0.0,USAAF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,November,Monday,317
1319,1944-11-13,Lisunov Li-2,Russia,4,0,6.0,2.0,Aeroflot,1943-01-01,Damaged beyond repair,Approach (APR),Unknown,Lisunov,1944,November,Monday,682
1324,1944-11-17,Douglas C-47 (DC-3),United States of America,2,0,2.0,0.0,USAAF,1942-01-01,Damaged beyond repair,Takeoff (TOF),Military,Douglas,1944,November,Friday,1051
1325,1944-11-19,Douglas C-47A (DC-3),United Kingdom,25,0,5.0,25.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,November,Sunday,323
1327,1944-11-21,Curtiss C-46A,United States of America,8,0,8.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Curtiss,1944,November,Tuesday,690
1328,1944-11-23,Douglas C-47A (DC-3),United Kingdom,4,0,4.0,0.0,USAAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,November,Thursday,692
1329,1944-11-24,Curtiss C-46D,Pacific Ocean,6,0,4.0,2.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Curtiss,1944,November,Friday,328
1330,1944-11-25,Douglas C-47B (DC-3),United States of America,4,0,4.0,0.0,USAAF,1944-01-01,Destroyed,En route (ENR),Military,Douglas,1944,November,Saturday,329
1332,1944-11-26,Douglas C-47A (DC-3),United Kingdom,5,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,November,Sunday,330
1334,1944-11-26,Douglas C-47A (DC-3),United Kingdom,3,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,November,Sunday,330
1335,1944-11-26,Douglas C-47A (DC-3),United Kingdom,5,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,November,Sunday,330
1341,1944-11-29,Lockheed 18 Lodestar,Kenya,11,0,4.0,7.0,BOAC,1941-01-01,Damaged beyond repair,En route (ENR),Passenger,Lockheed,1944,November,Wednesday,1428
1343,1944-11-30,Douglas C-53 (DC-3),India,3,0,3.0,0.0,CNAC,1942-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1944,November,Thursday,1064
1344,1944-12-01,Douglas DC-3-209,United States of America,8,0,3.0,20.0,TWA,1937-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Douglas,1944,December,Friday,2891
1345,1944-12-01,Lockheed C-60A-1-LO Lodestar,United States of America,9,0,7.0,2.0,USAAF,1942-01-01,Destroyed,En route (ENR),Military,Lockheed,1944,December,Friday,1065
1348,1944-12-03,Douglas C-47A (DC-3),France,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,December,Sunday,337
1349,1944-12-05,Douglas Dakota III (DC-3),France,18,0,3.0,20.0,RAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,December,Tuesday,704
1350,1944-12-05,Douglas C-47A (DC-3),China,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,December,Tuesday,339
1351,1944-12-05,Douglas C-47A (DC-3),Myanmar,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,December,Tuesday,339
1352,1944-12-06,Douglas C-47 (DC-3),Belgium,4,0,4.0,0.0,USAAF,1942-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,December,Wednesday,1070
1354,1944-12-06,Douglas C-47A (DC-3),Belgium,5,0,5.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,December,Wednesday,705
1355,1944-12-07,Douglas C-47A (DC-3),Indonesia,16,0,4.0,12.0,USAAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,December,Thursday,706
1356,1944-12-07,Lisunov Li-2,Russia,16,0,5.0,11.0,Aeroflot,1943-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Lisunov,1944,December,Thursday,706
1357,1944-12-09,Douglas C-47A (DC-3),Myanmar,7,0,7.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,December,Saturday,343
1358,1944-12-10,Douglas C-47A (DC-3),China,4,0,4.0,0.0,USAAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,December,Sunday,709
1359,1944-12-10,Douglas Dakota III (DC-3),United Kingdom,3,0,3.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,December,Sunday,344
1360,1944-12-10,Douglas C-47A (DC-3),Papua New Guinea,5,0,4.0,1.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,December,Sunday,709
1361,1944-12-12,Douglas C-47A (DC-3),Pacific Ocean,4,0,4.0,0.0,USAAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,December,Tuesday,711
1362,1944-12-13,Douglas C-47A (DC-3),United States of America,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,December,Wednesday,347
1363,1944-12-13,Douglas Dakota III (DC-3),Mediterranean Sea,4,0,4.0,0.0,South African AF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,December,Wednesday,347
1365,1944-12-14,Douglas C-47A (DC-3),Myanmar,6,0,6.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,December,Thursday,348
1366,1944-12-16,Douglas C-47 (DC-3),United States of America,3,0,3.0,0.0,USAAF,1942-01-01,Destroyed,Approach (APR),Military,Douglas,1944,December,Saturday,1080
1367,1944-12-17,Douglas C-49J,United States of America,3,0,2.0,4.0,USAAF,1942-01-01,Damaged beyond repair,Takeoff (TOF),Military,Douglas,1944,December,Sunday,1081
1375,1944-12-20,Douglas C-47A (DC-3),United States of America,5,0,2.0,3.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,December,Wednesday,354
1377,1944-12-21,Douglas C-47A (DC-3),Poland,6,0,6.0,0.0,Aeroflot,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,December,Thursday,355
1379,1944-12-22,Douglas C-47 (DC-3),United Kingdom,6,0,4.0,3.0,USAAF,1942-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,December,Friday,1086
1380,1944-12-22,Douglas C-47A (DC-3),United Kingdom,3,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Approach (APR),Military,Douglas,1944,December,Friday,356
1381,1944-12-23,Douglas C-47A (DC-3),Belgium,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,December,Saturday,722
1382,1944-12-23,Douglas C-47B (DC-3),Belgium,4,0,4.0,1.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,December,Saturday,357
1383,1944-12-23,Douglas C-47A (DC-3),Belgium,6,0,6.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,December,Saturday,357
1384,1944-12-24,Douglas C-47A (DC-3),Papua New Guinea,9,0,5.0,4.0,USAAF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,December,Sunday,358
1385,1944-12-25,Douglas C-47A (DC-3),France,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Initial climb (ICL),Military,Douglas,1944,December,Monday,359
1386,1944-12-25,Douglas C-47B (DC-3),United States of America,17,0,4.0,13.0,USAAF,1944-01-01,Destroyed,En route (ENR),Military,Douglas,1944,December,Monday,359
1387,1944-12-25,Douglas C-47A (DC-3),United States of America,12,0,4.0,23.0,USAAF,1943-01-01,Damaged beyond repair,Approach (APR),Military,Douglas,1944,December,Monday,724
1389,1944-12-26,Douglas C-47B (DC-3),Belgium,2,0,6.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,December,Tuesday,360
